Societe,Secteur,Nb_Seances,Cours_Initial,Cours_Final,Rendement_Annualise,Rendement_Cumule,Volatilite,Max_Drawdown,Beta,Ratio_Sharpe,Ratio_Sortino,Ratio_Calmar,VaR_95,CVaR_95,Tracking_Error
SGTM S.A,BMC,31,461.95,848.0,539.0061,83.5697,92.5961,-15.5274,3.3913,5.7832,13.7109,34.7132,-4.5297,-8.0709,82.5847
TIMAR,TRP,147,178.0,660.0,95.7099,71.4063,25.5107,-9.6786,-0.0278,3.6146,2.7988,9.8889,-0.2679,-2.4366,29.4104
CASH PLUS S.A,SFA,32,219.95,295.0,273.9121,34.1214,100.645,-8.3566,0.6684,2.6868,15.248,32.7778,-3.0998,-3.4921,98.6382
JET CONTRACTORS,BMC,664,202.9,2700.0,106.7581,1230.7048,41.3033,-32.1111,0.8737,2.5,4.2765,3.3246,-2.8946,-4.759,39.8332
AUTO NEJMA,DIS,267,1817.0,4326.0,89.0121,138.0848,37.7859,-21.2551,0.0329,2.2631,2.643,4.1878,-4.0668,-5.5613,40.7267
TGCC S.A,BMC,671,135.0,865.0,75.0577,540.7407,32.4304,-23.1978,-0.105,2.2065,3.5445,3.2356,-2.5132,-3.9119,35.1756
RESIDENCES DAR SAADA,IMM,665,22.0,160.1,120.7397,1501.0,56.2215,-31.6468,0.784,2.0853,3.7616,3.8152,-4.2909,-6.5715,55.3852
ALLIANCES,IMM,678,67.07,507.0,82.919,655.9266,39.2821,-26.2899,1.6009,2.0218,3.4171,3.154,-2.9422,-4.703,34.6936
VICENNE,SAN,129,259.55,428.1,112.176,64.9393,54.2408,-21.4579,0.2682,2.0036,4.0417,5.2277,-3.628,-5.6296,54.9836
SODEP-MARSA MAROC,SDT,678,248.8,932.0,52.3052,274.5981,25.2206,-15.1316,1.2091,1.9351,2.7578,3.4567,-1.7068,-3.0576,20.4443
AKDITAL,SAN,677,297.7,1153.0,53.8006,287.3027,25.9945,-31.875,1.1111,1.9351,3.0926,1.6879,-2.1432,-3.2068,22.0743
STOKVIS NORD AFRIQUE,DIS,666,12.49,93.45,89.8482,648.1986,52.6504,-37.037,0.8586,1.64,2.9569,2.4259,-4.3741,-5.9551,51.5381
SMI,MIN,656,1419.0,6616.0,68.4988,366.2438,43.2136,-33.8,0.5282,1.5041,2.1525,2.0266,-3.6995,-5.7546,43.0778
MANAGEM,MIN,677,2401.0,8251.0,51.2852,243.6485,32.657,-41.4018,0.3994,1.4632,2.2406,1.2387,-2.8946,-4.1809,33.1022
CMGP GROUP,IAG,265,219.95,380.0,60.339,72.7665,41.0863,-21.9457,0.62,1.3834,2.5816,2.7495,-3.0492,-4.5442,40.2679
RISMA,LH,666,117.0,375.0,50.4082,220.5128,35.597,-21.5038,0.7005,1.3178,2.0344,2.3442,-2.9863,-4.7419,34.6808
STROC INDUSTRIE,IBE,662,41.83,238.0,87.0912,468.9696,64.8344,-39.039,0.3877,1.2893,1.9117,2.2309,-5.856,-8.2346,65.0557
SONASID,BMC,666,650.0,2030.0,49.5586,212.3077,35.9772,-23.3962,0.9246,1.2802,1.9103,2.1182,-3.0187,-4.4967,34.0604
DOUJA PROM ADDOHA,IMM,678,7.69,31.15,63.1829,305.0715,47.0684,-33.4192,1.7191,1.268,1.874,1.8906,-3.771,-5.8752,42.8812
CFG BANK,BAN,505,120.95,230.1,35.5609,90.2439,26.4015,-18.6508,0.1271,1.2144,1.9591,1.9067,-2.2712,-3.2808,28.6625
ATTIJARIWAFA BANK,BAN,678,415.2,735.0,22.7703,77.0231,17.5736,-10.6241,1.0689,1.0966,1.6539,2.1433,-1.5203,-2.3699,11.5813
ZELLIDJA S.A,SPH,491,82.5,214.0,64.633,159.3939,55.948,-52.746,-0.0529,1.0927,1.4629,1.2254,-5.9872,-6.7397,57.5706
S.M MONETIQUE,LSI,609,205.0,562.6,53.2503,174.439,48.4304,-29.823,0.5786,1.0273,1.6375,1.7855,-4.5363,-5.8487,48.1335
DELTA HOLDING,SPH,666,26.97,70.98,44.7333,163.1813,40.3887,-22.2222,0.9515,1.0209,1.5343,2.013,-3.3606,-5.2777,38.576
FENIE BROSSETTE,DIS,666,147.45,370.0,48.2509,150.9325,51.9971,-43.0315,1.0481,0.8606,1.3512,1.1213,-4.2074,-6.4858,50.2876
BALIMA,SPI,451,140.0,225.0,33.3743,60.7143,37.2117,-29.2342,-0.1343,0.8028,0.9147,1.1416,-4.6789,-5.6199,40.1718
IB MAROC.COM,LSI,656,28.6,68.0,53.0059,137.7622,62.1133,-33.8462,0.0855,0.797,0.9885,1.5661,-5.9022,-8.3393,63.1083
SANLAM MAROC,ASS,588,1129.0,2147.0,39.1381,90.1683,48.5105,-24.1807,0.1909,0.7346,0.8404,1.6186,-5.3195,-7.2227,49.4894
TAQA MOROCCO,ELC,676,1140.0,2089.0,29.2954,83.2456,36.588,-35.9671,1.0159,0.705,0.9684,0.8145,-3.4514,-4.9881,34.3257
